message	name	f0_
Excellent, you're doing great. Your new task is to kill<br>126 Smoke Devils.	Nieve	1
Great, you're doing great. Your new task is to kill<br>46 Basilisks	Trainer Nacklepen	1
Your new task is to kill 68 Ankou.<br>Good luck!	Vannaka	1
Your new task is to kill 66 Fire Giants.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>106 Turoth.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>109 Turoth.	Vannaka	1
Great, you're doing great. Your new task is to kill<br>166 Fire giants	Nieve	1
You are to bring balance to 128 Drake<br>in the Karuulm Slayer Dungeon	Konar quo Maten	1
Great, you're doing great. Your new task is to kill<br>166 Dust devils	Nieve	1
Great, you're doing great. Your new task is to kill<br>147 Aberrant spectres	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>148 Gargoyles.	Nieve	1
Your new task is to kill 48 Black Demons.<br>Good luck!	Nieve	1
Your new task is to kill 220 Abyssal Demons.	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>76 Drakes.	Nieve	1
Your new task is to kill 152 Minions of Scabaras.	Nieve	1
Your new task is to kill 41 Bronze Dragons.<br>Good luck!	Nieve	1
Great, you're doing great. Your new task is to kill<br>169 TzHaar-Kets	Nieve	1
Your new task is to kill 118 Nechryael.<br>Good luck!	Nieve	1
Your new task is to kill 64 Blue Dragons.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>87 Dust Devils.	Krystilia	1
You are to bring balance to 76 Greater demon<br>in the Catacombs of Kourend	Konar quo Maten	1
Your new task is to kill 53 Black Demons.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>24 Goblins.	Spria	1
Excellent, you're doing great. Your new task is to kill<br>17 Scorpions.	Spria	1
Excellent, you're doing great. Your new task is to kill<br>222 Greater Demons.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>145 Basilisks.	Steve	1
Excellent, you're doing great. Your new task is to kill<br>146 Nechryael.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>201 Gargoyles.	Nieve	1
Your new task is to kill 202 Nechryael.	Vannaka	1
Great, you're doing great. Your new task is to kill<br>185 Hellhounds	Nieve	1
Your new task is to kill 28 Callisto.<br>Good luck!	Krystilia	1
Excellent, you're doing great. Your new task is to kill<br>207 Aviansies.	Steve	1
Your new task is to kill 216 Gargoyles.	Vannaka	1
Your new task is to kill 143 Nechryael.	Chaeldar	1
Great, you're doing great. Your new task is to kill<br>23 Cerberuss	Mazchna	1
Your new task is to kill 143 Minions of Scabaras.	Steve	1
Great, you're doing great. Your new task is to kill<br>17 Crawling Hands	Trainer Nacklepen	1
Excellent, you're doing great. Your new task is to kill<br>67 Cockatrice.	Mazchna	1
Your new task is to kill 206 Gargoyles.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>24 Terror Dogs.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>116 Mogres.	Chaeldar	1
Your new task is to kill 57 Dark Beasts.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>128 Jellies.	Krystilia	1
Your new task is to kill 53 Gargoyles.<br>Good luck!	Nieve	1
Your new task is to kill 19 Cave Bugs.<br>Good luck!	Turael	1
Great, you're doing great. Your new task is to kill<br>161 Dust devils	Nieve	1
Your new task is to kill 97 Wyrms.<br>Good luck!	Nieve	1
Your new task is to kill 102 Hydras.<br>Good luck!	Nieve	1
Great, you're doing great. Your new task is to kill<br>38 Blue dragons	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>48 Bears.	Spria	1
Excellent, you're doing great. Your new task is to kill<br>214 Aberrant Spectres.	Steve	1
Your new task is to kill 76 Dust Devils.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>136 Black Demons.	Krystilia	1
Your new task is to kill 36 Bloodveld.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>129 Harpie Bug Swarms.	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>212 Vampyres.	Steve	1
Great, you're doing great. Your new task is to kill<br>44 Taloned Wyverns	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>75 Nechryael.	Krystilia	1
You are to bring balance to 15 Venenatis<br>in the Wilderness	Konar quo Maten	1
You are to bring balance to 144 Hydra<br>in the Karuulm Slayer Dungeon	Konar quo Maten	1
Your new task is to kill 190 Spiritual Creatures.	Chaeldar	1
Your new task is to kill 24 Cows.<br>Good luck!	Turael	1
Your new task is to kill 40 Aberrant Spectres.<br>Good luck!	Nieve	1
Great, you're doing great. Your new task is to kill<br>17 Banshees	Turael	1
Your new task is to kill 81 Abyssal Demons.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>143 Basilisks.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>162 Gargoyles.	Nieve	1
Your new task is to kill 249 Nechryael.	Vannaka	1
Your new task is to kill 247 Aberrant Spectres.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>120 Brine Rats.	Nieve	1
Your new task is to kill 84 Dust Devils.<br>Good luck!	Nieve	1
You are to bring balance to 140 Hellhound<br>in the Taverly Dungeon	Konar quo Maten	1
Great, you're doing great. Your new task is to kill<br>60 Kurasks	Trainer Nacklepen	1
Excellent, you're doing great. Your new task is to kill<br>133 Basilisks.	Steve	1
Great, you're doing great. Your new task is to kill<br>48 Kurasks	Trainer Nacklepen	1
Excellent, you're doing great. Your new task is to kill<br>151 Lizards.	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>213 Black Demons.	Krystilia	1
Great, you're doing great. Your new task is to kill<br>154 Smoke devils	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>150 Kurask.	Nieve	1
You are to bring balance to 146 Kurask<br>in the Fremennik Slayer Dungeon	Konar quo Maten	1
Your new task is to kill 83 Iron Dragons.	Chaeldar	1
Your new task is to kill 104 Gargoyles.<br>Good luck!	Nieve	1
Your new task is to kill 10 Ghosts.<br>Good luck!	Turael	1
Great, you're doing great. Your new task is to kill<br>97 Lizardmans	Nieve	1
Your new task is to kill 217 Abyssal Demons.	Chaeldar	1
You are to bring balance to 159 Smoke devil<br>in the Smoke Dungeon	Konar quo Maten	1
Your new task is to kill 73 Spiritual Creatures.	Vannaka	1
You are to bring balance to 30 Long-tailed Wyvern<br>in the Wyvern Cave	Konar quo Maten	1
Your new task is to kill 109 Gargoyles.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>97 Green Dragons.	Krystilia	1
You are to bring balance to 65 Bronze dragon<br>in the Brimhaven Dungeon	Konar quo Maten	1
Great, you're doing great. Your new task is to kill<br>179 Kurasks	Nieve	1
Your new task is to kill 60 Ice Warriors.<br>Good luck!	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>202 Cave Horrors.	Steve	1
Excellent, you're doing great. Your new task is to kill<br>119 Vampyres.	Steve	1
Excellent, you're doing great. Your new task is to kill<br>106 Ice Giants.	Krystilia	1
Great, you're doing great. Your new task is to kill<br>17 Minotaurs	Turael	1
Excellent, you're doing great. Your new task is to kill<br>153 Aberrant Spectres.	Chaeldar	1
Your new task is to kill %USERNAME%0 Minotaurs.	Turael	1
Great, you're doing great. Your new task is to kill<br>66 Jellys	Trainer Nacklepen	1
Excellent, you're doing great. Your new task is to kill<br>145 Shadow Warriors.	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>66 Brine Rats.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>250 Aberrant Spectres.	Steve	1
Great, you're doing great. Your new task is to kill<br>101 Cave krakens	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>149 Bloodveld.	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>181 Basilisks.	Nieve	1
You are to bring balance to 127 Aberrant spectre<br>in the Slayer Tower	Konar quo Maten	1
Your new task is to kill 35 Ice Giants.<br>Good luck!	Nieve	1
You are to bring balance to 146 Hellhound<br>in the Karuulm Slayer Dungeon	Konar quo Maten	1
Great, you're doing great. Your new task is to kill<br>49 Jellys	Trainer Nacklepen	1
Your new task is to kill 23 Black Demons.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>43 Minions of Scabaras.	Nieve	1
Great, you're doing great. Your new task is to kill<br>152 Nechryaels	Nieve	1
Great, you're doing great. Your new task is to kill<br>58 Jellys	Trainer Nacklepen	1
Your new task is to kill 84 Dark Warriors.<br>Good luck!	Nieve	1
Great, you're doing great. Your new task is to kill<br>42 Ancient Wyverns	Nieve	1
Your new task is to kill 24 Bloodveld.<br>Good luck!	Nieve	1
Your new task is to kill 150 Cave Kraken.	Chaeldar	1
Your new task is to kill 205 Aberrant Spectres.	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>159 Dust Devils.	Chaeldar	1
Your new task is to kill 10 Rats.<br>Good luck!	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>135 Black Demons.	Krystilia	1
Your new task is to kill 187 Spiritual Creatures.	Steve	1
Your new task is to kill 32 Dark Warriors.<br>Good luck!	Krystilia	1
Excellent, you're doing great. Your new task is to kill<br>159 Basilisks.	Steve	1
Excellent, you're doing great. Your new task is to kill<br>43 Zombies.	Spria	1
You are to bring balance to 15 Spitting Wyvern<br>in the Wyvern Cave	Konar quo Maten	1
Your new task is to kill 80 Lesser Demons.<br>Good luck!	Nieve	1
Great, you're doing great. Your new task is to kill<br>144 Bloodvelds	Nieve	1
You are to bring balance to 101 Greater demon<br>in the Karuulm Slayer Dungeon	Konar quo Maten	1
You are to bring balance to 80 Greater demon<br>in the Brimhaven Dungeon	Konar quo Maten	1
Excellent, you're doing great. Your new task is to kill<br>228 Nechryael.	Krystilia	1
Your new task is to kill 103 Smoke Devils.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>38 Birds.	Spria	1
Excellent, you're doing great. Your new task is to kill<br>91 Fire Giants.	Krystilia	1
Your new task is to kill 219 Abyssal Demons.	Vannaka	1
Great, you're doing great. Your new task is to kill<br>132 Greater demons	Krystilia	1
Great, you're doing great. Your new task is to kill<br>34 Crazy archaeologists	Krystilia	1
Excellent, you're doing great. Your new task is to kill<br>217 Suqahs.	Steve	1
You are to bring balance to 168 Fire giant<br>in the Karuulm Slayer Dungeon	Konar quo Maten	1
You are to bring balance to 108 Nechryael<br>in the Slayer Tower	Konar quo Maten	1
Your new task is to kill %USERNAME%6 Icefiends.	Turael	1
Excellent, you're doing great. Your new task is to kill<br>250 %USERNAME%st Devils.	Steve	1
Excellent, you're doing great. Your new task is to kill<br>165 Brine Rats.	Nieve	1
Your new task is to kill 67 Gargoyles.<br>Good luck!	Nieve	1
Your new task is to kill 97 Kurask.<br>Good luck!	Nieve	1
Your new task is to kill 35 Ice Warriors.<br>Good luck!	Duradel	1
Great, you're doing great. Your new task is to kill<br>140 Dust devils	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>206 Gargoyles.	Steve	1
Your new task is to kill 91 Kurask.<br>Good luck!	Nieve	1
You are to bring balance to 61 Iron dragon<br>in the Brimhaven Dungeon	Konar quo Maten	1
Excellent, you're doing great. Your new task is to kill<br>240 Bloodveld.	Krystilia	1
Excellent, you're doing great. Your new task is to kill<br>123 Gargoyles.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>122 Gargoyles.	Chaeldar	1
Great, you're doing great. Your new task is to kill<br>40 Long-tailed Wyverns	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>115 Dark Warriors.	Krystilia	1
Excellent, you're doing great. Your new task is to kill<br>83 Turoth.	Vannaka	1
Your new task is to kill 64 Dark Beasts.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>157 Shadow Warriors.	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>43 Monkeys.	Spria	1
You are to bring balance to 167 Gargoyle<br>in the Slayer Tower	Konar quo Maten	1
Excellent, you're doing great. Your new task is to kill<br>52 Killerwatts.	Vannaka	1
Your new task is to kill 233 Nechryael.	Vannaka	1
Your new task is to kill 66 Earth Warriors.<br>Good luck!	Krystilia	1
Great, you're doing great. Your new task is to kill<br>39 Dagannoth Supremes	Mazchna	1
Excellent, you're doing great. Your new task is to kill<br>69 Turoth.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>149 Vampyres.	Steve	1
Excellent, you're doing great. Your new task is to kill<br>212 Cave Horrors.	Steve	1
Your new task is to kill 200 Aberrant Spectres.	Vannaka	1
Great, you're doing great. Your new task is to kill<br>28 Crawling Hands	Turael	1
Great, you're doing great. Your new task is to kill<br>14 Dark beasts	Nieve	1
Your new task is to kill 208 Bloodveld.	Vannaka	1
Your new task is to kill 124 Aviansies.	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>96 Jellies.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>30 Goblins.	Spria	1
Excellent, you're doing great. Your new task is to kill<br>119 Mogres.	Chaeldar	1
Great, you're doing great. Your new task is to kill<br>112 Greater demons	Krystilia	1
Your new task is to kill 35 Kalphite.<br>Good luck!	Nieve	1
You are to bring balance to 156 Aberrant spectre<br>in the Slayer Tower	Konar quo Maten	1
Excellent, you're doing great. Your new task is to kill<br>170 Aviansies.	Nieve	1
Your new task is to kill 100 Smoke Devils.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>75 Turoth.	Vannaka	1
You are to bring balance to 140 Wyrm<br>in the Karuulm Slayer Dungeon	Konar quo Maten	1
Your new task is to kill 206 Basilisks.	Chaeldar	1
Your new task is to kill 64 Gargoyles.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>97 Aviansies.	Krystilia	1
Your new task is to kill 129 Ankou.	Vannaka	1
Your new task is to kill 218 Nechryael.	Vannaka	1
Your new task is to kill 73 Wyrms.<br>Good luck!	Nieve	1
Your new task is to kill 57 Ankou.<br>Good luck!	Vannaka	1
Your new task is to kill 227 Aberrant Spectres.	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>41 Black Dragons.	Nieve	1
Great, you're doing great. Your new task is to kill<br>144 Cave horrors	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>135 Basilisks.	Steve	1
Your new task is to kill 65 Skeletal Wyverns.	Chaeldar	1
Your new task is to kill 33 Fire Giants.<br>Good luck!	Duradel	1
Excellent, you're doing great. Your new task is to kill<br>116 Bloodveld.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>121 Earth Warriors.	Krystilia	1
You are to bring balance to 12 General Graardor<br>in the God War Dungeon	Konar quo Maten	1
Excellent, you're doing great. Your new task is to kill<br>63 Aberrant Spectres.	Vannaka	1
Great, you're doing great. Your new task is to kill<br>185 Aberrant spectres	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>231 Nechryael.	Nieve	1
Your new task is to kill 222 Bloodveld.	Vannaka	1
Your new task is to kill 50 Kurask.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>232 Cave Horrors.	Duradel	1
Your new task is to kill 21 Fleshcrawlers.<br>Good luck!	Turael	1
You are to bring balance to 143 Kurask<br>in the Fremennik Slayer Dungeon	Konar quo Maten	1
Excellent, you're doing great. Your new task is to kill<br>165 TzHaar.	Steve	1
Your new task is to kill 209 Vampyres.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>109 Rogues.	Krystilia	1
Excellent, you're doing great. Your new task is to kill<br>50 Cave Kraken.	Chaeldar	1
Your new task is to kill 21 Crawling Hands.<br>Good luck!	Konar quo Maten	1
Excellent, you're doing great. Your new task is to kill<br>246 Vampyres.	Vannaka	1
Great, you're doing great. Your new task is to kill<br>154 Turoths	Nieve	1
Your new task is to kill 30 Rune Dragons.	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>151 Fever Spiders.	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>44 Red Dragons.	Nieve	1
Great, you're doing great. Your new task is to kill<br>67 Jellys	Trainer Nacklepen	1
Excellent, you're doing great. Your new task is to kill<br>43 Drakes.	Nieve	1
You are to bring balance to 93 Bloodveld<br>in the Stronghold Slayer Cave	Konar quo Maten	1
Your new task is to kill 25 Turoth.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>32 Mithril Dragons.	Steve	1
Your new task is to kill 230 Aberrant Spectres.	Vannaka	1
Your new task is to kill 207 Cave Horrors.	Chaeldar	1
Great, you're doing great. Your new task is to kill<br>76 Ankous	Nieve	1
Your new task is to kill 88 Gargoyles.	Vannaka	1
Your new task is to kill 226 Spiritual Creatures.	Nieve	1
Your new task is to kill 44 Black Demons.<br>Good luck!	Nieve	1
Excellent, you're doing great. Your new task is to kill<br>123 Black Demons.	Krystilia	1
Excellent, you're doing great. Your new task is to kill<br>175 Spiritual Creatures.	Nieve	1
You are to bring balance to 161 Jelly<br>in the Fremennik Slayer Dungeon	Konar quo Maten	1
You are to bring balance to 127 Greater demon<br>in the Chasm of Fire	Konar quo Maten	1
Great, you're doing great. Your new task is to kill<br>145 Cave horrors	Nieve	1
Your new task is to kill 242 Aviansies.	Nieve	1
Your new task is to kill 241 Nechryael.	Chaeldar	1
Your new task is to kill 147 Ankou.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>126 Brine Rats.	Nieve	1
You are to bring balance to 34 Giant Mole<br>in the Falador Mole's Lair	Konar quo Maten	1
Excellent, you're doing great. Your new task is to kill<br>73 Fossil Island Wyverns.	Steve	1
Excellent, you're doing great. Your new task is to kill<br>58 Skeletal Wyverns.	Nieve	1
Your new task is to kill 43 Dagannoth.<br>Good luck!	Nieve	1
Your new task is to kill 121 Nechryael.	Chaeldar	1
Great, you're doing great. Your new task is to kill<br>41 Banshees	Turael	1
Your new task is to kill 203 Dust Devils.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>125 Banshees.	Chaeldar	1
You are to bring balance to 26 Sulphur Lizard<br>in the Karuulm Slayer Dungeon	Konar quo Maten	1
Great, you're doing great. Your new task is to kill<br>156 Black demons	Chaeldar	1
Excellent, you're doing great. Your new task is to kill<br>217 Aviansies.	Krystilia	1
Excellent, you're doing great. Your new task is to kill<br>23 Monkeys.	Spria	1
You are to bring balance to 132 Wyrm<br>in the Karuulm Slayer Dungeon	Konar quo Maten	1
You are to bring balance to 21 Blue dragon<br>in the Taverly Dungeon	Konar quo Maten	1
Great, you're doing great. Your new task is to kill<br>162 Bloodvelds	Nieve	1
Your new task is to kill 120 Spiritual Creatures.	Vannaka	1
Excellent, you're doing great. Your new task is to kill<br>121 Dagannoth.	Chaeldar	1
Your new task is to kill 71 Spiritual Creatures.<br>Good luck!	Nieve	1
Great, you're doing great. Your new task is to kill<br>161 Cave horrors	Nieve	1
